linked_account_id;subtree id
5100;1
5100;2
5100;3
5100;4
5100;5
5100;6
5100;7
5100;8
5100;9
5100;10
5100;11
5100;12
5100;13
5100;14
5100;15
5100;16
5100;17
5100;18
5100;19
5100;20
5100;21
5100;22
5100;23
5100;24
5100;25
5100;26
5100;27
5100;28
5100;29
5100;30
5100;31
5100;32
5100;33
5100;34
5100;35
5100;36
5100;37
5100;38
5100;39
5100;40
5100;41
5100;42
5100;43
5100;44
5100;45
5100;46
5100;47
5100;48
5100;49
5100;50
5100;51
5100;52
5100;53
5100;54
5100;55
5100;56
5100;57
5100;58
5100;59
5100;60
5100;61
5100;62
5100;63
5100;64
5100;65
5100;66
5100;67
5100;68
5100;69
5100;70
5100;71
5100;72
5100;73
5100;74
5100;75
5100;76
5100;77
5100;78
5100;79
5100;80
5100;81
5100;82
5100;83
5100;84
5100;85
5100;86
5100;87
5100;88
5100;89
5100;90
5100;91
5100;92
5100;93
5100;94
5100;95
5100;96
5100;97
5100;98
5100;99
5100;100
5100;101
5100;102
5100;103
5100;104
5100;105
5100;106
5100;107
5100;108
5100;109
5100;110
5100;111
5100;112
5100;113
5100;114
5100;115
5100;116
5100;117
5100;118
5100;119
5100;120
5100;121
5100;122
5100;123
5100;124
5100;125
5100;126
5100;127
5100;128
5100;129
5100;130
5100;131
5100;132
5100;133
5100;134
5100;135
5100;136
5100;137
5100;138
5100;139
22103;1093
22103;1094
22103;1095
22103;1096
22103;1097
22103;1098
22103;1099
22103;1100
22103;1101
22103;1102
22103;1103
22103;1104
22103;1105
22103;1106
22103;1107
22103;1108
22103;1109
22103;1110
22103;1111
22103;1112
22103;1113
22103;1114
22103;1115
22103;1116
22103;1117
22103;1118
22103;1119
22103;1120
22103;1121
22103;1122
22103;1123
22103;1124
22103;1125
22103;1126
22103;1127
22103;1128
22103;1129
22103;1130
22103;1131
22103;1132
22103;1133
22103;1134
22103;1135
22103;1136
22103;1137
22103;1138
22103;1139
22103;1140
22103;1141
22103;1142
22103;1143
22103;1144
22103;1145
22103;1146
22103;1147
22103;1148
22103;1149
22103;1150
22103;1151
22103;1152
22103;1153
22103;1154
22103;1155
22103;1156
22103;1157
22103;1158
22103;1159
22103;1160
22103;1144
22103;1145
22103;1146
22103;1149
22103;1150
22103;1151
22103;1152
22103;1154
22103;1155
22103;1156
22103;1157
22103;1159
22103;1160
22104;5174
22104;5175
22104;5176
22104;5177
22104;5178
22104;5179
22104;5180
22104;5181
22104;5182
22104;5183
22104;5184
22104;5185
22104;5186
22104;5187
22104;5188
22104;5189
22104;5190
22104;5191
22104;5192
22104;5193
22104;5194
22104;5195
22104;5196
22104;5197
22104;5198
22104;5199
22104;5200
22104;5201
22104;5202
22104;5204
22104;5205
22104;5206
22104;5207
22104;5209
22104;5210
22104;5211
22104;5212
22104;5213
22104;5214
22104;5215
22104;5216
22104;5217
22104;5218
22104;5219
22104;5220
22104;5221
22104;5222
22104;5223
22104;5224
22104;5225
31001;50000
31001;50001
31001;50002
22104;70000
22104;70001
22104;70002
22104;70003
22104;70004
22104;70005
22104;70006
22104;70007
22104;70008
22104;70009
22104;70010
22104;70011
22104;70012
22104;70013
12304;20000
12304;20001
12304;20002
12304;20003
12304;20004
12304;20005
12304;20006
12304;20007
